time,mv
00:02.975510,-0.013000000000000001
00:02.979420,-0.01
00:02.983330,-0.01
00:02.987240,-0.01
00:02.991150,-0.01
00:02.995060,-0.011
00:02.998970,-0.01
00:03.002880,-0.01
00:03.006790,-0.011
00:03.010700,-0.012
00:03.014610,-0.012
00:03.018520,-0.012
00:03.022430,-0.011
00:03.026340,-0.01
00:03.030250,-0.01
00:03.034160,-0.01
00:03.038070,-0.01
00:03.041980,-0.011
00:03.045890,-0.011
00:03.049800,-0.01
00:03.053710,-0.01
00:03.057620,-0.01
00:03.061530,-0.011
00:03.065440,-0.011
00:03.069350,-0.011
00:03.073260,-0.01
00:03.077170,-0.01
00:03.081080,-0.01
00:03.084990,-0.01
00:03.088900,-0.01
00:03.092810,-0.01
00:03.096720,-0.01
00:03.100630,-0.011
00:03.104540,-0.01
00:03.108450,-0.01
00:03.112360,-0.011
00:03.116270,-0.011
00:03.120180,-0.011
00:03.124090,-0.01
00:03.128000,-0.011
00:03.131910,-0.012
00:03.135820,-0.011
00:03.139730,-0.011
00:03.143640,-0.011
00:03.147550,-0.01
00:03.151460,-0.01
00:03.155370,-0.01
00:03.159280,-0.01
00:03.163190,-0.01
00:03.167100,-0.01
00:03.171010,-0.011
00:03.174920,-0.011
00:03.178830,-0.01
00:03.182740,-0.011
00:03.186650,-0.011
00:03.190560,-0.009000000000000001
00:03.194470,-0.006
00:03.198380,-0.005
00:03.202290,-0.005
00:03.206200,-0.003
00:03.210110,-0.002
00:03.214020,-0.002
00:03.217930,-0.001
00:03.221840,0.001
00:03.225750,0.001
00:03.229660,0.002
00:03.233570,0.005
00:03.237480,0.008
00:03.241390,0.008
00:03.245300,0.006
00:03.249210,0.004
00:03.253120,0.001
00:03.257030,-0.001
00:03.260940,0.004
00:03.264850,0.015
00:03.268760,0.033
00:03.272670,0.06
00:03.276580,0.093
00:03.280490,0.127
00:03.284400,0.154
00:03.288310,0.167
00:03.292220,0.168
00:03.296130,0.158
00:03.300040,0.14100000000000001
00:03.303950,0.122
00:03.307860,0.097
00:03.311770,0.067
00:03.315680,0.037
00:03.319590,0.01
00:03.323500,-0.008
00:03.327410,-0.02
00:03.331320,-0.029
00:03.335230,-0.037
00:03.339140,-0.041
00:03.343050,-0.042
00:03.346960,-0.041
00:03.350870,-0.039
00:03.354780,-0.037
00:03.358690,-0.032
00:03.362600,-0.027
00:03.366510,-0.023
00:03.370420,-0.019
00:03.374330,-0.019
00:03.378240,-0.018000000000000002
00:03.382150,-0.017
00:03.386060,-0.016
00:03.389970,-0.014
00:03.393880,-0.013000000000000001
00:03.397790,-0.014
00:03.401700,-0.014
00:03.405610,-0.014
00:03.409520,-0.014
00:03.413430,-0.014
00:03.417340,-0.014
00:03.421250,-0.014
00:03.425160,-0.013000000000000001
00:03.429070,-0.012
00:03.432980,-0.012
00:03.436890,-0.012
00:03.440800,-0.012
00:03.444710,-0.011
00:03.448620,-0.011
00:03.452530,-0.01
00:03.456440,-0.01
00:03.460350,-0.01
00:03.464260,-0.01
00:03.468170,-0.009000000000000001
00:03.472080,-0.007
00:03.475990,-0.006
00:03.479900,-0.005
00:03.483810,-0.004
00:03.487720,-0.003
00:03.491630,-0.003
00:03.495540,0.0
00:03.499450,0.001
00:03.503360,0.002
00:03.507270,0.002
00:03.511180,0.002
00:03.515090,0.004
00:03.519000,0.005
00:03.522910,0.006
00:03.526820,0.007
00:03.530730,0.008
00:03.534640,0.009000000000000001
00:03.538550,0.008
00:03.542460,0.01
00:03.546370,0.012
00:03.550280,0.012
00:03.554190,0.014
00:03.558100,0.015
00:03.562010,0.016
00:03.565920,0.017
00:03.569830,0.019
00:03.573740,0.02
00:03.577650,0.021
00:03.581560,0.022
00:03.585470,0.022
00:03.589380,0.023
00:03.593290,0.022
00:03.597200,0.021
00:03.601110,0.021
00:03.605020,0.019
